Name                                                                                                                                                                              Stmts   Miss  Cover
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\dice\tests.py                                                                                                                13      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\health_bar\__init__.py                                                                                                        1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\health_bar\health_bar.py                                                                                                     30      6    80%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\health_bar\tests.py                                                                                                          14      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\rpsystem\__init__.py                                                                                                          9      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\rpsystem\rplanguage.py                                                                                                      141     25    82%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\rpsystem\rpsystem.py                                                                                                        577    122    79%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\rpsystem\tests.py                                                                                                           189      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\traits\__init__.py                                                                                                            5      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\traits\tests.py                                                                                                             594      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\rpg\traits\traits.py                                                                                                            525     51    90%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\__init__.py                                                                                                             0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\batchprocessor\__init__.py                                                                                              0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\bodyfunctions\__init__.py                                                                                               1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\bodyfunctions\bodyfunctions.py                                                                                         34      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\bodyfunctions\tests.py                                                                                                 56      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\__init__.py                                                                                                 0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\characters.py                                                                                             132     54    59%
